Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2021.0,Riyan Parag,11.0,2.0,93.0,25.0,11.62,83.0,112.04,0.0,0.0,6.0,4.0,6.0,0.0,11.0,37.0,73.0,1.0,73.0,11.83,37.0,0.0,0.0,1.0,7.0
2020.0,Riyan Parag,12.0,1.0,86.0,42.0,12.28,77.0,111.68,0.0,0.0,6.0,3.0,1.0,0.0,12.0,12.0,27.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,13.0
2019.0,Riyan Parag,7.0,0.0,160.0,50.0,32.0,126.0,126.98,0.0,1.0,17.0,5.0,5.0,0.0,7.0,84.0,121.0,2.0,60.5,8.64,42.0,0.0,0.0,1.0,10.0
2024.0,Rohit Sharma,14.0,1.0,417.0,105.0,32.08,278.0,150.0,1.0,1.0,45.0,23.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Rohit Sharma,16.0,0.0,332.0,65.0,20.75,250.0,132.8,0.0,2.0,35.0,17.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Rohit Sharma,14.0,0.0,268.0,48.0,19.14,223.0,120.18,0.0,0.0,28.0,13.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,Rohit Sharma,13.0,0.0,381.0,63.0,29.3,299.0,127.42,0.0,1.0,33.0,14.0,1.0,0.0,13.0,7.0,13.0,0.0,0.0,11.14,0.0,0.0,0.0,0.0,4.0
2020.0,Rohit Sharma,12.0,0.0,332.0,80.0,27.66,260.0,127.69,0.0,3.0,27.0,19.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Rohit Sharma,15.0,1.0,405.0,67.0,28.92,315.0,128.57,0.0,2.0,52.0,10.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,Rohit Sharma,14.0,2.0,286.0,94.0,23.83,215.0,133.02,0.0,2.0,25.0,12.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,Rohit Sharma,17.0,2.0,333.0,67.0,23.78,273.0,121.97,0.0,3.0,31.0,9.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,Rohit Sharma,14.0,3.0,489.0,85.0,44.45,368.0,132.88,0.0,5.0,49.0,16.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,Rohit Sharma,16.0,2.0,482.0,98.0,34.42,333.0,144.74,0.0,3.0,41.0,21.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,Rohit Sharma,15.0,2.0,390.0,59.0,30.0,302.0,129.13,0.0,3.0,31.0,16.0,5.0,0.0,15.0,18.0,26.0,1.0,26.0,8.66,18.0,0.0,0.0,1.0,20.0
2013.0,Rohit Sharma,19.0,5.0,538.0,79.0,38.42,409.0,131.54,0.0,4.0,35.0,28.0,7.0,0.0,19.0,8.0,6.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,1.0
